"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","S1 - Theta","Student Mastery",-0.510129530594117,0.39176527211689,-0.756775364250341,-0.67486546181078,0.0165673861304337,NA,4
"attributenodes[2, 1]","S2 - Theta","Student Mastery",1.06143297425104,0,1.06143297425104,1.06143297425104,1.06143297425104,NA,0
"attributenodes[3, 1]","S3 - Theta","Student Mastery",0.684655303542059,0.391663332245088,0.358676803668683,0.618367514359971,1.12332304502499,NA,4
"attributenodes[4, 1]","S4 - Theta","Student Mastery",-0.341838501203231,0.386074236048491,-0.635063548502073,-0.455436605152881,0.144503322810017,NA,4
"attributenodes[5, 1]","S5 - Theta","Student Mastery",0.807846629144518,0.699327820356955,0.204970505436079,0.76701202552091,1.48014157901309,NA,4
"attributenodes[6, 1]","S6 - Theta","Student Mastery",-0.163830720764938,0.467785996754194,-0.519505734025989,-0.300967676052777,0.42497711648544,NA,4
"attributenodes[7, 1]","S7 - Theta","Student Mastery",1.05892180729493,0.282444089626847,0.67762228629869,1.20014385210836,1.20014385210836,NA,4
"attributenodes[8, 1]","S8 - Theta","Student Mastery",-1.94976512390374,0.78427209151439,-2.60191219086659,-2.17247744686565,-0.919007107905663,NA,4
"attributenodes[9, 1]","S9 - Theta","Student Mastery",0.107277029632896,0.0640094605673404,0.0244825404079121,0.128639960260989,0.153754536790122,NA,4
"attributenodes[10, 1]","S10 - Theta","Student Mastery",0.631261607244761,0.845425437766504,-0.252633388675189,0.554068952864639,1.64638411561092,NA,4
"attributenodes[1, 2]","S1 - Unknown","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[2, 2]","S2 - Unknown","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[3, 2]","S3 - Unknown","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[4, 2]","S4 - Unknown","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[5, 2]","S5 - Unknown","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[6, 2]","S6 - Unknown","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[7, 2]","S7 - Unknown","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[8, 2]","S8 - Unknown","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[9, 2]","S9 - Unknown","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[10, 2]","S10 - Unknown","Student Mastery",0,0,0,0,0,NA,0
"lambda[1, 1]","Task1 - Slope","Item Parameter",1.56743827143719,0.172729641156574,1.33362914564068,1.64679901533869,1.66633413260114,NA,4
"lambda[2, 1]","Task2 - Slope","Item Parameter",0.705479845079686,0.52580084747645,0.442579421341461,0.442579421341461,1.41531098917289,NA,4
"lambda[3, 1]","Task3 - Slope","Item Parameter",1.07577587872352,0.285278308244315,0.75392967922169,1.07544541017676,1.39818387475485,NA,4
"lambda[1, 2]","Task1 - Intercept","Item Parameter",-0.423369972912129,0.388885577190881,-0.91430240978161,-0.35251131473308,-0.0528972549470313,NA,4
"lambda[2, 2]","Task2 - Intercept","Item Parameter",0.317027897769752,0.642359385507894,-0.00415179498419471,-0.00415179498419471,1.18421306820541,NA,4
"lambda[3, 2]","Task3 - Intercept","Item Parameter",-0.197360276382759,0.133892745413813,-0.264306649089665,-0.264306649089665,-0.0166050700741118,NA,4
